id,name,serving_size,calories,total_fat,protein,carbohydrate
80,"Broccoli, raw, stalks",100 g,28,0.4g,2.98 g,5.24 g
81,"Cream, cultured, sour",100 g,198,19g,2.44 g,4.63 g
82,"Gravy, canned, au jus",100 g,16,0.2g,1.20 g,2.50 g
83,"McDONALD'S, Hamburger",100 g,264,10g,12.92 g,30.28 g
84,"Cheese, port de salut",100 g,352,28g,23.78 g,0.57 g
85,SILK Original Creamer,100 g,100,6.7g,0.00 g,6.67 g
86,SILK Hazelnut Creamer,100 g,133,6.7g,0.00 g,20.00 g
87,"Soup, mix, dry, onion",100 g,293,0.3g,7.48 g,65.07 g
88,"Mushrooms, raw, enoki",100 g,37,0.3g,2.66 g,7.81 g
89,Bacon and beef sticks,100 g,517,44g,29.10 g,0.80 g
90,"Salami, pork, Italian",100 g,425,37g,21.70 g,1.20 g
91,"Crackers, whole-wheat",100 g,427,14g,10.58 g,69.55 g
92,"Peanuts, raw, spanish",100 g,570,50g,26.15 g,15.83 g
93,"Hominy, white, canned",100 g,72,0.9g,1.48 g,14.26 g
94,"Game meat, raw, moose",100 g,102,0.7g,22.24 g,0.00 g
95,"Pears, red anjou, raw",100 g,62,0.1g,0.33 g,14.94 g
96,"Horseradish, prepared",100 g,48,0.7g,1.18 g,11.29 g
97,"Fish, raw, butterfish",100 g,146,8g,17.28 g,0.00 g
98,"Lebanon bologna, beef",100 g,172,10g,19.03 g,0.44 g
99,Ham and cheese spread,100 g,245,19g,16.18 g,2.28 g
100,"TACO BELL, Taco Salad",100 g,170,9.2g,6.69 g,15.10 g
101,"Sauce, worcestershire",100 g,78,0g,0.00 g,19.46 g
102,"Candies, marshmallows",100 g,318,0.2g,1.80 g,81.30 g
103,"Hummus, home prepared",100 g,177,8.6g,4.86 g,20.12 g
104,Horned melon (Kiwano),100 g,44,1.3g,1.78 g,7.56 g
105,Ice cream sundae cone,100 g,254,14g,3.00 g,28.89 g
106,"Peppers, raw, serrano",100 g,32,0.4g,1.74 g,6.70 g
107,"Cabbage, cooked, napa",100 g,12,0.2g,1.10 g,2.23 g
108,"Peppers, dried, ancho",100 g,281,8.2g,11.86 g,51.42 g
109,"Parsley, freeze-dried",100 g,271,5.2g,31.30 g,42.38 g
110,"Spices, black, pepper",100 g,251,3.3g,10.39 g,63.95 g
111,"Spices, white, pepper",100 g,296,2.1g,10.40 g,68.61 g
112,"Yambean (jicama), raw",100 g,38,0.1g,0.72 g,8.82 g
113,"Nuts, dried, pilinuts",100 g,719,80g,10.80 g,3.98 g
114,"Kiwifruit, raw, green",100 g,61,0.5g,1.14 g,14.66 g
115,"Drumstick leaves, raw",100 g,64,1.4g,9.40 g,8.28 g
116,"Yautia (tannier), raw",100 g,98,0.4g,1.46 g,23.63 g
117,"Candies, butterscotch",100 g,391,3.3g,0.03 g,90.40 g
118,"Cucumber, raw, peeled",100 g,12,0.2g,0.59 g,2.16 g
119,"Dandelion greens, raw",100 g,45,0.7g,2.70 g,9.20 g
120,"Melons, raw, honeydew",100 g,36,0.1g,0.54 g,9.09 g
121,Potato salad with egg,100 g,157,9.4g,1.96 g,16.18 g
122,"Mushrooms, raw, white",100 g,22,0.3g,3.09 g,3.26 g
123,"Mushrooms, raw, morel",100 g,31,0.6g,3.12 g,5.10 g
124,"Cheese, Mexican blend",100 g,358,29g,23.54 g,1.75 g
125,"Oranges, Florida, raw",100 g,46,0.2g,0.70 g,11.54 g
126,"SILK Vanilla, soymilk",100 g,41,1.4g,2.47 g,4.12 g
127,"Papaya nectar, canned",100 g,57,0.2g,0.17 g,14.51 g
128,"Fiddlehead ferns, raw",100 g,34,0.4g,4.55 g,5.54 g
129,SILK Peach soy yogurt,100 g,94,1.2g,2.35 g,18.82 g
130,SILK Plain soy yogurt,100 g,66,1.8g,2.64 g,9.69 g
131,"PACE, Enchilada Sauce",100 g,40,0g,1.67 g,8.33 g
132,Yeast extract spread,100 g,185,0.9g,23.88 g,20.42 g
133,"Tomatoes, raw, green",100 g,23,0.2g,1.20 g,5.10 g
134,"Mollusks, raw, snail",100 g,90,1.4g,16.10 g,2.00 g
135,"Emu, raw, fan fillet",100 g,103,0.8g,22.50 g,0.00 g
136,"Pasta, enriched, dry",100 g,371,1.5g,13.04 g,74.67 g
137,"Cookies, gingersnaps",100 g,416,9.8g,5.60 g,76.90 g
138,"Sour cream, fat free",100 g,74,0g,3.10 g,15.60 g
139,"MURRAY, Honey Graham",100 g,445,13g,5.90 g,75.70 g
140,"Frankfurter, chicken",100 g,223,16g,15.51 g,2.74 g
141,"Ham, canned, chopped",100 g,239,19g,16.06 g,0.26 g
142,"Spices, dried, thyme",100 g,276,7.4g,9.11 g,63.94 g
143,"Carrot juice, canned",100 g,40,0.2g,0.95 g,9.28 g
144,"Corn, dried (Navajo)",100 g,386,5.2g,9.88 g,74.93 g
145,"Pate, truffle flavor",100 g,327,29g,11.20 g,6.30 g
146,"Fruit butters, apple",100 g,173,0.3g,0.39 g,42.47 g
147,"Fast foods, coleslaw",100 g,153,9.9g,0.95 g,14.89 g
148,"Salami, beef, cooked",100 g,261,22g,12.60 g,1.90 g
149,"Spices, chili powder",100 g,282,14g,13.46 g,49.70 g
150,"Spices, caraway seed",100 g,333,15g,19.77 g,49.90 g
151,"Spices, dried, basil",100 g,233,4.1g,22.98 g,47.75 g
152,"Pickle relish, sweet",100 g,130,0.5g,0.37 g,35.06 g
153,"Chives, freeze-dried",100 g,311,3.5g,21.20 g,64.29 g
154,"Fish, raw, sablefish",100 g,195,15g,13.41 g,0.00 g
155,"Crackers, multigrain",100 g,482,20g,7.10 g,67.60 g
156,"Spices, ground, mace",100 g,475,32g,6.71 g,50.50 g
157,"Spices, onion powder",100 g,341,1g,10.41 g,79.12 g
158,"Butter, without salt",100 g,717,81g,0.85 g,0.06 g
159,"Rice noodles, cooked",100 g,108,0.2g,1.79 g,24.01 g
160,Barley flour or meal,100 g,345,1.6g,10.50 g,74.52 g
161,"Sesbania flower, raw",100 g,27,0g,1.28 g,6.73 g
162,"Garlic bread, frozen",100 g,350,17g,8.36 g,41.72 g
163,"KFC, Popcorn Chicken",100 g,351,22g,17.67 g,21.18 g
164,"APPLEBEE'S, coleslaw",100 g,120,7.1g,0.79 g,13.17 g
165,"Rolls, sweet, dinner",100 g,321,7.4g,10.04 g,53.58 g
166,"Cherries, raw, sweet",100 g,63,0.2g,1.06 g,16.01 g
167,"Ostrich, raw, ground",100 g,165,8.7g,20.22 g,0.00 g
168,"SILK Coffee, soymilk",100 g,62,1.4g,2.06 g,10.29 g
169,"Snacks, banana chips",100 g,519,34g,2.30 g,58.40 g
170,"Peaches, raw, yellow",100 g,39,0.3g,0.91 g,9.54 g
171,"Rolls, wheat, dinner",100 g,273,6.3g,8.60 g,46.00 g
172,"Candies, HEATH BITES",100 g,530,30g,3.94 g,63.39 g
173,"Chicken, raw, ground",100 g,143,8.1g,17.44 g,0.04 g
174,"Pears, bartlett, raw",100 g,63,0.2g,0.39 g,15.01 g
175,"Toppings, strawberry",100 g,254,0.1g,0.20 g,66.30 g
176,"KEEBLER, Sugar Cones",100 g,375,3.7g,7.30 g,78.00 g
177,"Seaweed, raw, wakame",100 g,45,0.6g,3.03 g,9.14 g
178,"Seaweed, dried, agar",100 g,306,0.3g,6.21 g,80.88 g
179,"Bread, cracked-wheat",100 g,260,3.9g,8.70 g,49.50 g
180,"Amaranth leaves, raw",100 g,23,0.3g,2.46 g,4.02 g
181,"Barley, raw, pearled",100 g,352,1.2g,9.91 g,77.72 g
182,"Polish sausage, pork",100 g,326,29g,14.10 g,1.63 g
183,"Spices, curry powder",100 g,325,14g,14.29 g,55.83 g
184,"Bacon bits, meatless",100 g,476,26g,32.00 g,28.60 g
185,"Semolina, unenriched",100 g,360,1.1g,12.68 g,72.83 g
186,"Grape leaves, canned",100 g,69,2g,4.27 g,11.71 g
187,"Spices, ground, sage",100 g,315,13g,10.63 g,60.73 g
188,"PACE, Red Taco Sauce",100 g,50,0g,0.00 g,12.50 g
189,"DENNY'S, hash browns",100 g,197,9g,2.49 g,26.59 g
190,"DENNY'S, onion rings",100 g,385,22g,5.29 g,41.05 g
191,"Ostrich, raw, oyster",100 g,125,3.7g,21.55 g,0.00 g
192,"Oil, corn and canola",100 g,884,100g,0.00 g,0.00 g
193,"Pumpkin flowers, raw",100 g,15,0.1g,1.03 g,3.28 g
194,"Celery flakes, dried",100 g,319,2.1g,11.30 g,63.70 g
195,"Crackers, egg, matzo",100 g,391,2.1g,12.30 g,78.60 g
196,"Loganberries, frozen",100 g,55,0.3g,1.52 g,13.02 g
197,"Tangerine juice, raw",100 g,43,0.2g,0.50 g,10.10 g
198,"Soybeans, raw, green",100 g,147,6.8g,12.95 g,11.05 g
199,"Soybean, curd cheese",100 g,151,8.1g,12.50 g,6.90 g
200,"Game meat, raw, bear",100 g,161,8.3g,20.10 g,0.00 g
201,"Game meat, raw, deer",100 g,120,2.4g,22.96 g,0.00 g
202,"Oranges, navels, raw",100 g,49,0.2g,0.91 g,12.54 g
203,"Tostada shells, corn",100 g,474,23g,6.15 g,64.43 g
204,"Fish, raw, swordfish",100 g,144,6.7g,19.66 g,0.00 g
205,"Taro, raw, tahitian",100 g,44,1g,2.79 g,6.91 g
206,"Chicory greens, raw",100 g,23,0.3g,1.70 g,4.70 g
207,"Hearts of palm, raw",100 g,115,0.2g,2.70 g,25.61 g
208,"Chayote, raw, fruit",100 g,19,0.1g,0.82 g,4.51 g
209,"Fish, smoked, cisco",100 g,177,12g,16.36 g,0.00 g
210,"Frankfurter, turkey",100 g,223,17g,12.23 g,3.81 g
211,"Candies, jellybeans",100 g,375,0.1g,0.00 g,93.55 g
212,"Oil, ucuhuba butter",100 g,884,100g,0.00 g,0.00 g
213,Soy protein isolate,100 g,335,3.4g,88.32 g,0.00 g
214,"Syrups, light, corn",100 g,283,0.2g,0.00 g,76.79 g
215,"Fish, raw, milkfish",100 g,148,6.7g,20.53 g,0.00 g
216,"Fish, raw, monkfish",100 g,76,1.5g,14.48 g,0.00 g
217,"Mother's loaf, pork",100 g,282,22g,12.07 g,7.53 g
218,"Tapioca, dry, pearl",100 g,358,0g,0.19 g,88.69 g
219,"Guavas, raw, common",100 g,68,1g,2.55 g,14.32 g
220,"Spices, celery seed",100 g,392,25g,18.07 g,41.35 g
221,"Candies, peanut bar",100 g,522,34g,15.50 g,47.40 g
222,"Bread, toasted, rye",100 g,284,3.6g,9.40 g,53.10 g
223,"Oil, apricot kernel",100 g,884,100g,0.00 g,0.00 g
224,"Candies, YORK BITES",100 g,394,7.3g,1.78 g,81.64 g
225,"Meatballs, meatless",100 g,197,9g,21.00 g,8.00 g
226,"Emu, raw, full rump",100 g,112,1.6g,22.83 g,0.00 g
227,"Mustard greens, raw",100 g,27,0.4g,2.86 g,4.67 g
228,"Seaweed, raw, laver",100 g,35,0.3g,5.81 g,5.11 g
229,"Sweet rolls, cheese",100 g,360,18g,7.10 g,43.70 g
230,"Figs, stewed, dried",100 g,107,0.4g,1.42 g,27.57 g
231,"Bread sticks, plain",100 g,412,9.5g,12.00 g,68.40 g
232,"SILK Mocha, soymilk",100 g,58,1.4g,2.06 g,9.05 g
233,Milk and cereal bar,100 g,413,11g,6.47 g,72.05 g
234,"Bread, pumpernickel",100 g,250,3.1g,8.70 g,47.50 g
235,"Game meat, raw, elk",100 g,111,1.5g,22.95 g,0.00 g
236,"PACE, Pico De Gallo",100 g,31,0g,0.00 g,9.38 g
237,"Ostrich, raw, round",100 g,116,2.4g,21.99 g,0.00 g
238,"HORMEL, Cure 81 Ham",100 g,106,3.6g,18.43 g,0.21 g
239,"Prune juice, canned",100 g,71,0g,0.61 g,17.45 g
240,"McDONALD'S, BIG MAC",100 g,257,15g,11.82 g,20.08 g
241,"Soy flour, defatted",100 g,327,1.2g,51.46 g,33.92 g
242,"Bread, toasted, egg",100 g,315,6.6g,10.50 g,52.60 g
243,"Fish, raw, mahimahi",100 g,85,0.7g,18.50 g,0.00 g
244,"Fish, raw, bluefish",100 g,124,4.2g,20.04 g,0.00 g
245,"Spices, fennel seed",100 g,345,15g,15.80 g,52.29 g
246,"Potatoes, skin, raw",100 g,58,0.1g,2.57 g,12.44 g
247,"Pepper, raw, banana",100 g,27,0.5g,1.66 g,5.35 g
248,"Drumstick pods, raw",100 g,37,0.2g,2.10 g,8.53 g
249,"Toppings, pineapple",100 g,253,0.1g,0.10 g,66.40 g
250,Acorn stew (Apache),100 g,95,3.5g,6.81 g,9.22 g
251,"Tomatoes, sun-dried",100 g,258,3g,14.11 g,55.76 g
252,"Guava sauce, cooked",100 g,36,0.1g,0.32 g,9.48 g
253,"Pumpkin leaves, raw",100 g,19,0.4g,3.15 g,2.33 g
254,"Melons, raw, casaba",100 g,28,0.1g,1.11 g,6.58 g
255,"Melon balls, frozen",100 g,33,0.3g,0.84 g,7.94 g
256,"Fish oil, cod liver",100 g,902,100g,0.00 g,0.00 g
257,"Nuts, dried, acorns",100 g,509,31g,8.10 g,53.66 g
258,"Rolls, pumpernickel",100 g,276,2.8g,10.80 g,51.87 g
259,"Gravy, dry, chicken",100 g,381,9.7g,11.27 g,62.09 g
260,"Fish, raw, tilefish",100 g,96,2.3g,17.50 g,0.00 g
261,"Ice creams, vanilla",100 g,207,11g,3.50 g,23.60 g
262,"SILK Plain, soymilk",100 g,41,1.7g,2.88 g,3.29 g
263,"Cabbage, raw, savoy",100 g,27,0.1g,2.00 g,6.10 g
264,"Fish, raw, tilapia",100 g,96,1.7g,20.08 g,0.00 g
265,"Broccoli raab, raw",100 g,22,0.5g,3.17 g,2.85 g
266,"Corn grain, yellow",100 g,365,4.7g,9.42 g,74.26 g
267,"Turtle, raw, green",100 g,89,0.5g,19.80 g,0.00 g
268,"Chicory roots, raw",100 g,72,0.2g,1.40 g,17.51 g
269,Ice cream sandwich,100 g,237,8.6g,4.29 g,37.14 g
270,"Croutons, seasoned",100 g,465,18g,10.80 g,63.50 g
271,"Snacks, taro chips",100 g,498,25g,2.30 g,68.10 g
272,"Prickly pears, raw",100 g,41,0.5g,0.73 g,9.57 g
273,"Fish, raw, haddock",100 g,74,0.5g,16.32 g,0.00 g
274,"Liver cheese, pork",100 g,304,26g,15.20 g,2.10 g
275,"Ground turkey, raw",100 g,148,7.7g,19.66 g,0.00 g
276,Jams and preserves,100 g,278,0.1g,0.37 g,68.86 g
277,"Carrots, raw, baby",100 g,35,0.1g,0.64 g,8.24 g
278,"Oil, nutmeg butter",100 g,884,100g,0.00 g,0.00 g
279,"Semolina, enriched",100 g,360,1.1g,12.68 g,72.83 g
280,"Spices, anise seed",100 g,337,16g,17.60 g,50.02 g
281,"Snacks, corn cakes",100 g,387,2.4g,8.10 g,83.40 g
282,"Catsup, low sodium",100 g,101,0.1g,1.04 g,27.40 g
283,"Croissants, cheese",100 g,414,21g,9.20 g,47.00 g
284,"Milk, fluid, sheep",100 g,108,7g,5.98 g,5.36 g
285,"Acerola juice, raw",100 g,23,0.3g,0.40 g,4.80 g
286,"Jute, raw, potherb",100 g,34,0.3g,4.65 g,5.80 g
287,"Fast food, biscuit",100 g,370,19g,7.08 g,42.82 g
288,"Bagels, multigrain",100 g,241,1.2g,9.90 g,47.47 g
289,"Beef, dried, cured",100 g,153,1.9g,31.10 g,2.76 g
290,"Nuts, almond paste",100 g,458,28g,9.00 g,47.81 g
291,"Seaweed, raw, kelp",100 g,43,0.6g,1.68 g,9.57 g
292,"Seaweed, raw, agar",100 g,26,0g,0.54 g,6.75 g
293,"Fish oil, menhaden",100 g,902,100g,0.00 g,0.00 g
294,"Rolls, egg, dinner",100 g,307,6.4g,9.50 g,52.00 g
295,"Bread, white wheat",100 g,238,2.2g,10.66 g,43.91 g
296,"Onions, raw, sweet",100 g,32,0.1g,0.80 g,7.55 g
297,"Onions, raw, welsh",100 g,34,0.4g,1.90 g,6.50 g
298,"SILK Chai, soymilk",100 g,53,1.4g,2.47 g,7.82 g
299,"Rolls, rye, dinner",100 g,286,3.4g,10.30 g,53.10 g
300,"Gravy, dry, au jus",100 g,313,9.6g,9.20 g,47.49 g
301,"Cheese, neufchatel",100 g,253,23g,9.15 g,3.59 g
302,"Hummus, commercial",100 g,166,9.6g,7.90 g,14.29 g
303,"Croissants, butter",100 g,406,21g,8.20 g,45.80 g
304,"Carrot, dehydrated",100 g,341,1.5g,8.10 g,79.57 g
305,"Vinegar, distilled",100 g,18,0g,0.00 g,0.04 g
306,"Sapote, raw, mamey",100 g,124,0.5g,1.45 g,32.10 g
307,"Soy flour, low-fat",100 g,372,8.9g,49.81 g,30.63 g
308,"Syrups, sugar free",100 g,52,0g,0.80 g,12.13 g
309,"Syrups, dark, corn",100 g,286,0g,0.00 g,77.59 g
310,"Taco shells, baked",100 g,476,22g,6.41 g,63.49 g
311,"Spices, cumin seed",100 g,375,22g,17.81 g,44.24 g
312,"Bamboo shoots, raw",100 g,27,0.3g,2.60 g,5.20 g
313,"Fish, raw, lingcod",100 g,85,1.1g,17.66 g,0.00 g
314,"Whey, dried, sweet",100 g,353,1.1g,12.93 g,74.46 g
315,"Whey, fluid, sweet",100 g,27,0.4g,0.85 g,5.14 g
316,"Spices, poppy seed",100 g,525,42g,17.99 g,28.13 g
317,"Babyfood, pretzels",100 g,397,2g,10.80 g,82.20 g
318,"Fat, mutton tallow",100 g,902,100g,0.00 g,0.00 g
319,"Coffeecake, cheese",100 g,339,15g,7.00 g,44.30 g
320,"Sauce, horseradish",100 g,503,51g,1.09 g,10.05 g
321,"Yardlong bean, raw",100 g,47,0.4g,2.80 g,8.35 g
322,"Cress, raw, garden",100 g,32,0.7g,2.60 g,5.50 g
323,"Dates, deglet noor",100 g,282,0.4g,2.45 g,75.03 g
324,"Lambsquarters, raw",100 g,43,0.8g,4.20 g,7.30 g
325,"Gravy, dry, turkey",100 g,367,7.2g,10.42 g,65.12 g
326,Vital wheat gluten,100 g,370,1.9g,75.16 g,13.79 g
327,"Turnip greens, raw",100 g,32,0.3g,1.50 g,7.13 g
328,"Sugars, granulated",100 g,387,0g,0.00 g,99.98 g
329,"Frankfurter, pork",100 g,269,24g,12.81 g,0.28 g
330,"Pomegranates, raw",100 g,83,1.2g,1.67 g,18.70 g
331,"Pears, raw, asian",100 g,42,0.2g,0.50 g,10.65 g
332,"Cookies, molasses",100 g,430,13g,5.60 g,73.80 g
333,"Cookies, fig bars",100 g,348,7.3g,3.70 g,70.90 g
334,Liverwurst spread,100 g,305,25g,12.38 g,5.89 g
335,Roast beef spread,100 g,223,16g,15.27 g,3.73 g
336,"Chard, raw, swiss",100 g,19,0.2g,1.80 g,3.74 g
337,"Goose, raw, liver",100 g,133,4.3g,16.37 g,6.32 g
338,"TACO BELL, Nachos",100 g,350,22g,4.32 g,34.91 g
339,"Sausage, meatless",100 g,255,18g,20.28 g,8.09 g
340,"Frankfurter, meat",100 g,290,26g,10.26 g,4.17 g
341,"Rice flour, brown",100 g,363,2.8g,7.23 g,76.48 g
342,"Peppermint, fresh",100 g,70,0.9g,3.75 g,14.89 g
343,"Vinegar, red wine",100 g,19,0g,0.04 g,0.27 g
344,"Vinegar, balsamic",100 g,88,0g,0.49 g,17.03 g
345,"Luxury loaf, pork",100 g,141,4.8g,18.40 g,4.90 g
346,"Rye flour, medium",100 g,349,1.5g,10.88 g,75.43 g
347,"DENNY'S, coleslaw",100 g,183,15g,0.97 g,10.88 g
348,"Bread, wheat bran",100 g,248,3.4g,8.80 g,47.80 g
349,"Croissants, apple",100 g,254,8.7g,7.40 g,37.10 g
350,"Candies, Tamarind",100 g,368,0g,0.00 g,91.96 g
351,"Oheloberries, raw",100 g,28,0.2g,0.38 g,6.84 g
352,"PACE, Salsa Verde",100 g,47,1.6g,0.00 g,6.25 g
353,Barley malt flour,100 g,361,1.8g,10.28 g,78.30 g
354,"Rice noodles, dry",100 g,364,0.6g,5.95 g,80.18 g
355,"Fish oil, sardine",100 g,902,100g,0.00 g,0.00 g
356,"Fish oil, herring",100 g,902,100g,0.00 g,0.00 g
357,"Plantains, cooked",100 g,116,0.2g,0.79 g,31.15 g
358,"Burdock root, raw",100 g,72,0.2g,1.53 g,17.34 g
359,"Butterbur, canned",100 g,3,0.1g,0.11 g,0.38 g
360,"Ostrich, raw, fan",100 g,117,2.7g,21.81 g,0.00 g
361,"SILK Nog, soymilk",100 g,74,1.6g,2.46 g,12.30 g
362,"Gravy, dry, brown",100 g,367,9.6g,10.74 g,59.38 g
363,"Cheese, provolone",100 g,351,27g,25.58 g,2.14 g
364,"Cheese, roquefort",100 g,369,31g,21.54 g,2.00 g
365,"Muffins, oat bran",100 g,270,7.4g,7.00 g,48.30 g
366,"Syrups, grenadine",100 g,268,0g,0.00 g,66.91 g
367,"Raisins, seedless",100 g,299,0.5g,3.07 g,79.18 g
368,"Strawberries, raw",100 g,32,0.3g,0.67 g,7.68 g
369,"Fish, raw, burbot",100 g,90,0.8g,19.31 g,0.00 g
370,"Wheat germ, crude",100 g,360,9.7g,23.15 g,51.80 g
371,"Wheat, hard white",100 g,342,1.7g,11.31 g,75.90 g
372,"Wheat bran, crude",100 g,216,4.3g,15.55 g,64.51 g
373,"Gooseberries, raw",100 g,44,0.6g,0.88 g,10.18 g
374,"Spices, dill seed",100 g,305,15g,15.98 g,55.17 g
375,"Oil, cocoa butter",100 g,884,100g,0.00 g,0.00 g
376,"APPLEBEE'S, chili",100 g,157,9.8g,12.56 g,4.57 g
377,"Grape leaves, raw",100 g,93,2.1g,5.60 g,17.31 g
378,"Kale, raw, scotch",100 g,42,0.6g,2.80 g,8.32 g
379,"Marmalade, orange",100 g,246,0g,0.30 g,66.30 g
380,"Whey, dried, acid",100 g,339,0.5g,11.73 g,73.45 g
381,"Whey, fluid, acid",100 g,24,0.1g,0.76 g,5.12 g
